Condition,Suspected,Confirmed,Deaths,CFR
Acute Viral Hepatitis,27388,1472,12,
AEFI,28,10,0,
AFP,152,0,0,
Anthrax,94,0,0,
Bacterial meningitis,135,31,13,
Bilharzia,6663,776,0,
Cholera,768,150,13,
COVID-19,322,26,0,
Diarrhoea Non-Bloody ,392829,8315,21,
Diarrhoea with blood,10902,0,0,
Dog Bites,7222,,17,
HIV,61858,1493,8,
Human Rabies,27,,7,
Influenza,1818,5,0,
Malaria,4629503,2480259,272,
Measles ,912,34,2,
Neonatal Tetanus,27,1,7,
Plague,9,0,0,
Scabies,8887,205,0,
Trypanosomiasis,248,23,1,
Tuberculosis,8637,261,2,
Typhoid fever,2085,76,1,
Mumps,7004,2077,0,
mpox,128,8,1,
