Condition,Week 1 2025-12-29 - 2026-01-04,Week 2 2026-01-05 - 2026-01-11,Week 3 2026-01-12 - 2026-01-18,Week 4 2026-01-19 - 2026-01-25,Week 5 2026-01-26 - 2026-02-01,Week 6 2026-02-02 - 2026-02-08,Week 7 2026-02-09 - 2026-02-15,Week 8 2026-02-16 - 2026-02-22,Week 9 2026-02-23 - 2026-03-01,Week 10 2026-03-02 - 2026-03-08,Week 11 2026-03-09 - 2026-03-15,Week 12 2026-03-16 - 2026-03-22,Week 13 2026-03-23 - 2026-03-29,Week 14 2026-03-30 - 2026-04-05,Week 15 2026-04-06 - 2026-04-12
AFP,6,8,10,7,14,22,12,10,10,13,8,20,12,7,13
AEFI,,,,2,3,2,3,8,,4,1,4,1,2,
Acute Viral Hepatitis,1564,2198,2260,1915,1803,2498,1986,2063,2142,1938,2205,2523,2293,2347,2011
Anthrax,9,11,16,6,3,11,8,7,7,4,4,5,3,4,3
Cholera,20,13,67,46,77,66,41,45,145,64,83,46,55,63,58
COVID-19,14,58,12,31,11,16,12,23,19,33,19,54,20,56,31
Dog Bites,572,552,584,590,607,533,517,605,536,509,546,571,500,495,419
Influenza,58,42,129,237,94,157,220,148,74,145,98,299,117,185,99
Measles,31,16,333,38,41,23,20,258,25,31,17,23,56,21,18
Diarrhoea Non-Bloody,27360,29956,28398,29418,32858,33423,31875,31047,31482,29276,27159,29966,30611,27133,27447
Bilharzia,440,410,535,453,486,522,529,505,636,632,509,532,474,441,366
Trypanosomiasis,,6,12,8,19,1,7,3,5,93,3,89,2,1,
Tuberculosis,536,661,552,602,535,428,790,735,510,457,568,1041,1222,513,600
Typhoid fever,186,162,150,184,170,187,167,172,156,138,105,152,156,114,144
Diarrhoea with blood,966,1118,831,1087,928,886,818,798,753,731,635,684,667,537,540
mpox,19,12,16,11,8,9,8,10,5,4,3,17,4,3,4
